17,Kevin,Smith,0092 Dunning Terrace,88040,Minneapolis,United States,(612)671-1951,8/22/67,Male,3544016599965460,736-70-3372,University of Central Florida,ksmithg@wiley.com,"Inj unsp musc/fasc/tend at shldr/up arm, right arm, sequela"
18,Gloria,Montgomery,0 Union Terrace,15400,Reno,United States,(775)747-0065,6/14/89,Female,676194901208924000,921-36-3347,Stevens Institute of Technology,gmontgomeryh@cafepress.com,"Post subcapsular polar infantile and juv cataract, r eye"
19,Tammy,Harvey,5505 Brown Avenue,38057,Atlanta,United States,(770)328-4548,11/13/96,Female,5416009495890440,381-52-9091,"University of California, Riverside",tharveyi@tmall.com,"Unsp fracture of fourth metacarpal bone, right hand, init"
20,Marie,Morgan,9468 Leroy Court,48632,Atlanta,United States,(770)908-2744,7/26/78,Female,3543729423081800,696-50-8131,Fort Lewis College,mmorganj@independent.co.uk,"Other helicopter accident injuring occupant, init encntr"
21,Phyllis,Nelson,7502 Doe Crossing Way,91691,Hamilton,United States,(419)641-4602,7/25/06,Female,5641828987332070,786-72-5160,San Francisco Conservatory of Music,pnelsonk@newyorker.com,"Juvenile rheumatoid arthritis w systemic onset, unsp wrist"
22,Jessica,Richards,8731 Spenser Center,90127,Richmond,United States,(804)187-1345,3/21/66,Female,3560552572305160,617-71-0112,McPherson College,jrichardsl@360.cn,Fracture of triquetrum [cuneiform] bone of wrist
23,Dennis,Gutierrez,85811 Gale Terrace,83995,Springfield,United States,(413)535-4714,3/6/67,Male,3556528979249450,380-12-9555,The College of New Jersey,dgutierrezm@cnn.com,"Partial traumatic amputation of unsp breast, subs encntr"
24,Amanda,Elliott,232 Roxbury Court,79206,Dayton,United States,(937)124-9217,8/26/90,Female,3579376382348010,901-75-8419,Rocky Mountain College of Art and Design,aelliottn@cargocollective.com,"Labor and delivery comp by oth cord entangle, w comprsn, oth"
25,Helen,Rice,98 Farmco Circle,28562,Orlando,United States,17194220741,3/23/76,Female,3586991422436000,487-34-6095,Louisiana State University Health Sciences Center New Orleans,hriceo@so-net.ne.jp,"Nondisp seg fx shaft of ulna, l arm, 7thQ"
26,Paul,Spencer,4366 Raven Pass,39732,Columbia,United States,12138582118,10/27/93,Male,3574242746896750,969-87-1761,Edison Community College,pspencerp@ed.gov,"Corrosion of second degree of right ear, subs encntr"
27,Joseph,Fisher,59 Donald Pass,47426,Houston,United States,12038020704,2/16/78,Male,560221388187905000,727-83-9225,Lamar University,jfisherq@amazon.de,"Contusion of other part of small intestine, init encntr"
28,Shirley,Porter,6 Shopko Terrace,72492,Lancaster,United States,13179532897,6/13/70,Female,5610629334490240,449-29-0228,Oklahoma Panhandle State University,sporterr@instagram.com,Drown due to fall/jump fr oth burning unpowered watercraft
29,Justin,Webb,128 Hazelcrest Street,23402,London,United States,19525420904,3/7/74,Male,5602258013255580000,832-64-1970,Eastern Washington University,jwebbs@dailymotion.com,"Strain of musc/fasc/tend at thigh level, right thigh, init"
30,Alan,King,9168 Charing Cross Road,44446,Saint Louis,United States,18281843861,10/25/07,Male,4041375075645,657-81-8586,University of Connecticut,akingt@washington.edu,"Nondisplaced fracture of coracoid process, right shoulder"
31,Adam,Perez,8687 Hallows Alley,36735,New York City,United States,19522085273,10/13/86,Male,201523073780932,725-25-1155,D'Youville College,aperezu@examiner.com,"Prsn outsd 3-whl mv inj pk-up truck, pk-up/van nontraf, sqla"
32,Jimmy,Vasquez,6896 Independence Drive,29861,Tampa,United States,18127379762,6/16/67,Male,5355533030916900,577-62-8439,Edgewood College,jvasquezv@npr.org,"Cont preg aft elctv fetl rdct of 1 fts or more,unsp tri,fts1"
33,Nicholas,Stephens,93 Meadow Ridge Court,57431,Baltimore,United States,13122891790,1/16/86,Male,3568165344544840,201-28-9687,Duquesne University,nstephensw@ifeng.com,"Partial traum amp of right shldr/up arm, level unsp, subs"
34,Joyce,Bryant,790 Kedzie Court,58670,New Hyde Park,United States,19154487441,10/3/68,Female,5602226753165460,943-33-9437,Slippery Rock University,jbryantx@blogger.com,"Sprain of carpal joint of right wrist, initial encounter"
35,Jerry,Rice,0812 Rigney Pass,13166,Dayton,United States,1.937.949.4776,3/22/91,Male,3583049210128820,661-44-4852,Gemological Institute of America,jricey@zimbio.com,Intraop hemor/hemtom of circ sys org comp oth circ sys proc
36,Jeffrey,Myers,543 Grayhawk Trail,34689,Reno,United States,1.775.549.6669,1/4/88,Male,36994256516412,793-65-8077,John F. Kennedy University,jmyersz@usda.gov,"Sltr-haris Type III physl fx low end l femr, 7thG"
37,Jerry,Frazier,080 Oak Valley Road,65259,Toledo,United States,1.419.706.0372,7/19/06,Male,3538447795686450,929-22-8282,Gardner Webb University,jfrazier10@usa.gov,Cerebral infarction due to thrombosis of l verteb art
38,Roy,Wells,441 Hayes Terrace,45710,El Paso,United States,1.915.392.2105,8/2/03,Male,3551917681803680,376-55-8037,Daniel Webster College,rwells11@usa.gov,Corrosion of first degree of left palm
39,Samuel,Moreno,73 Laurel Hill,95107,Jacksonville,United States,1.904.782.9340,12/18/03,Male,4041594170767350,224-16-3515,Lawrence University,smoreno12@exblog.jp,"Inj muscle and tendon of front wall of thorax, sequela"
40,Aaron,Peterson,885 Vahlen Avenue,23858,Bradenton,United States,1.941.350.2034,8/21/71,Male,374288956592819,567-74-8116,California College for Health Sciences,apeterson13@delicious.com,"Lacerat unsp musc/fasc/tend at forarm lv, left arm, init"
41,Tina,Carpenter,01404 Hovde Pass,74906,Charleston,United States,1.419.641.4602,3/31/86,Female,4017953464869730,470-22-2026,Wright State University,tcarpenter14@bing.com,"Coma scale, best verb, inappropriate words, 24+hrs"
42,Jennifer,Robertson,962 Mariners Cove Plaza,10768,Washington,United States,1.804.187.1345,3/20/83,Female,3528644692970790,276-56-6242,University of Oklahoma Health Sciences Center,jrobertson15@kickstarter.com,"Nondisp fx of lateral malleolus of unsp fibula, 7thG"
43,Alice,Barnes,11 Anthes Way,69302,San Francisco,United States,1.413.535.4714,11/25/68,Female,3547778032596580,648-67-2524,Eastern Kentucky University,abarnes16@moonfruit.com,"Toxic eff of corrosv acids and acid-like substnc, acc, sqla"
44,Craig,Scott,5555 Reinke Center,62857,Austin,United States,1.937.124.9217,2/18/78,Male,201840993390521,820-45-0257,The College of St. Scholastica,cscott17@addthis.com,Complications of reattached (part of) upper extremity
45,Theresa,Alvarez,1 Bluestem Parkway,17480,Chicago,United States,1.407.523.5081,6/16/76,Female,3549891647695370,342-54-3840,Rowan University,talvarez18@abc.net.au,"Injury of l int carotid, intcr w LOC of 1-5 hrs 59 min, subs"
46,Gary,Fields,1 Division Trail,68594,Washington,United States,1.573.883.7630,1/9/09,Male,4175005399101540,274-41-5687,Claremont Lincoln University,gfields19@sfgate.com,Burn of first degree of toe(s) (nail)
47,Brenda,Armstrong,07 Transport Pass,75803,Palatine,United States,1.713.470.5165,7/2/98,Female,3581443658937880,985-26-9922,Shippensburg University of Pennsylvania,barmstrong1a@eepurl.com,"Crepitant synovitis (acute) (chronic), unspecified wrist"
48,Aaron,Dean,6594 Delladonna Hill,34719,Carson City,United States,1.661.924.6499,1/6/97,Male,3574474497589790,469-35-0239,Crichton College,adean1b@hatena.ne.jp,Stiff-man syndrome
49,Willie,Bowman,2159 David Alley,39384,Peoria,United States,1.606.857.9766,2/15/76,Male,490330210873682000,234-88-5554,Southern Wesleyan University,wbowman1c@sourceforge.net,"Torus fracture of lower end of left femur, init for clos fx"
50,Nicole,Rivera,10762 Lawn Place,43454,San Antonio,United States,1.314.587.1264,4/5/96,Female,3559370386275650,973-19-8880,Monmouth University,nrivera1d@xing.com,"Subluxation of T11/T12 thoracic vertebra, subs encntr"
51,Linda,Dunn,461 Del Mar Place,40015,Jacksonville,United States,1.212.456.8446,6/8/70,Female,3558538063363040,282-62-0046,"City University of New York, Brooklyn College",ldunn1e@weebly.com,"Person outsd 3-whl mv inj in clsn w nonmtr veh in traf, subs"
52,Randy,Howell,845 Washington Court,55553,Midland,United States,1.813.337.4758,9/26/05,Male,201880937557975,294-43-1241,State University of New York College at Plattsburgh,rhowell1f@abc.net.au,"Decreased white blood cell count, unspecified"
53,Christopher,Wallace,51 Cardinal Street,41615,Springfield,United States,1.410.541.4221,12/12/98,Male,6709337006461250000,261-52-1779,University of Mary,cwallace1g@pagesperso-orange.fr,"Lgl intervnt w unsp firearm disch, law enforc offl inj, sqla"
54,Nancy,Fox,2709 Lunder Way,59194,Orlando,United States,1.516.727.4544,5/28/89,Female,5602231879332630,232-41-9016,Martin Methodist College,nfox1h@123-reg.co.uk,"Toxic effect of venom of snake, accidental, init"
55,Elizabeth,Parker,040 Scofield Pass,73384,Los Angeles,United States,1.937.949.4776,12/19/96,Female,3570296439789730,232-73-6172,Macon State College,eparker1i@imageshack.us,"Other superficial bite of unspecified wrist, init encntr"
56,Harry,Bennett,40 Eagle Crest Lane,19343,San Rafael,United States,1.775.549.6669,7/6/90,Male,3528082384743090,303-70-1027,Trident University,hbennett1j@dailymail.co.uk,"Fall due to controlled fire, not in building or structure"
57,David,Foster,83 Mesta Way,46909,Santa Fe,United States,1-(505)756-0612,10/19/82,Male,5447277217025040,227-66-7827,Design Institute of San Diego,dfoster1k@spotify.com,"Strain flexor musc/fasc/tend r mid finger at forarm lv, init"
58,James,Foster,7855 Daystar Lane,43191,Irvine,United States,1-(949)282-1134,1/30/83,Male,4936097802263690,796-68-0247,Florida International University,jfoster1l@google.it,"Occup of military vehicle injured nontraf, subs"
59,Beverly,Ford,40 Michigan Lane,77494,Mobile,United States,1-(251)145-3000,6/15/01,Female,337941614703584,624-95-8976,University of Pittsburgh at Johnstown,bford1m@t-online.de,Initial lesions of yaws
60,Barbara,White,78746 Carioca Pass,37930,Columbus,United States,1-(614)214-8638,2/28/03,Female,5100137603389490,542-34-5019,Baylor University,bwhite1n@reference.com,"Maternal care for excess fetal growth, first tri, fetus 4"
61,Stephanie,Hart,2646 Heffernan Crossing,69365,Seattle,United States,1-(206)986-6544,6/4/04,Female,4744225462858040,245-41-5631,The Curtis Institute of Music,shart1o@odnoklassniki.ru,"Toxic effect of unsp pesticide, intentional self-harm, subs"
62,Ruby,Bowman,9891 Evergreen Park,64762,Baton Rouge,United States,1-(225)882-8030,1/15/93,Female,30070180000561,473-03-4585,Barat College,rbowman1p@microsoft.com,"Chronic follicular conjunctivitis, bilateral"
63,Virginia,Bowman,40 Monument Lane,28414,Topeka,United States,1-(785)655-8783,5/5/82,Female,6771327939671530000,933-49-7482,Illinois Wesleyan University,vbowman1q@bigcartel.com,"Disp fx of unsp radial styloid pro, 7thM"
64,Emily,Garza,86 Mandrake Road,88790,Charlotte,United States,1-(704)892-6752,3/9/85,Female,4905286134887760000,210-10-5801,Hanover College,egarza1r@creativecommons.org,"Unspecified epiphora, right lacrimal gland"
65,Ann,Adams,2 School Point,81956,Evansville,United States,1-(812)503-5095,7/24/00,Female,201576416870158,822-53-7077,State University of New York Downstate Medical Center,aadams1s@cafepress.com,"X-linked adrenoleukodystrophy, unspecified type"
66,Mildred,Chavez,267 Trailsway Point,41314,Las Vegas,United States,1-(702)961-9857,2/24/72,Female,3578759828098860,390-22-5162,Robert Morris College of Chicago,mchavez1t@japanpost.jp,"Pedl cyc pasngr inj in clsn w statnry object nontraf, subs"
67,Theresa,Griffin,442 Hallows Place,88012,Muskegon,United States,1-(231)895-3077,2/1/82,Female,604481800997563000,596-99-1223,MGH Institute of Health Professions,tgriffin1u@histats.com,"Type III traum spondylolysis of 7th cervcal vert, 7thG"
68,Andrew,Diaz,6115 Dahle Plaza,27004,Denver,United States,1-(303)621-7352,4/29/89,Male,30013270762237,520-11-4747,Regis University,adiaz1v@comsenz.com,"Coma scale, best verb, confused conversation, in the field"
69,Bruce,Ferguson,159 Katie Street,16197,Chicago,United States,1-(773)930-9838,8/28/73,Male,5541043387501820,658-65-2665,Lambuth University,bferguson1w@springer.com,"Nondisp transverse fx shaft of humer, r arm, 7thD"
70,Joan,Brown,988 Mallard Road,24697,Toledo,United States,1-(419)474-8796,9/21/01,Female,3551309170759940,951-02-4891,Triton College,jbrown1x@google.cn,Inj extensor musc/fasc/tend and unsp finger at wrs/hnd lv
71,Sean,Marshall,351 Amoth Hill,42726,Columbus,United States,1-(614)727-9453,4/8/80,Male,3540340593410540,881-47-1586,"Concordia College, Moorhead",smarshall1y@sciencedaily.com,Other benign neuroendocrine tumors
72,Thomas,Hill,305 Lotheville Junction,19865,Topeka,United States,1-(785)486-9915,5/6/67,Male,676227193243628000,932-93-9947,Institute of Textile Technology,thill1z@nature.com,Other specified dermatitis
73,Ruby,Burns,8731 Old Gate Hill,58043,Rockford,United States,1-(815)907-8277,5/17/98,Female,3568582688403320,500-21-8324,Tusculum College,rburns20@cam.ac.uk,"Nondisp fx of l ulna styloid pro, 7thR"
74,Dennis,Parker,10 Carey Junction,45801,Oklahoma City,United States,1-(405)618-5922,1/13/05,Male,6767885997351790,959-71-1151,King College,dparker21@mit.edu,"Oth disp fx of base of 1st MC bone, l hand, 7thD"
75,Ryan,Cooper,9 Union Alley,77456,Miami,United States,1-(786)357-4185,12/28/87,Male,3550268077600430,636-94-4798,Oral Roberts University,rcooper22@admin.ch,Occup of pk-up/van injured in collision w pedl cyc in traf
76,Debra,Hanson,794 Tomscot Drive,84271,Brooklyn,United States,1-(212)262-5624,8/3/91,Female,374283400931762,679-09-0798,Montserrat College of Art,dhanson23@nationalgeographic.com,"Pathological fracture, unspecified femur"
77,Tina,Cook,4 Kings Plaza,84682,El Paso,United States,1-(915)640-3362,12/21/89,Female,30100163050141,347-92-2263,St. Thomas Aquinas College,tcook24@mapquest.com,Doubling of uterus with doubling of cervix and vagina
78,Helen,Sims,214 Mcguire Place,57744,Pittsburgh,United States,1-(412)960-3251,12/13/02,Female,4405595995064640,964-70-5241,North Carolina Wesleyan College,hsims25@telegraph.co.uk,"Inj extn musc/fasc/tend unsp finger at forarm lv, sequela"
79,Patricia,Wright,956 Buell Hill,43835,Pasadena,United States,1-(626)986-1604,8/24/69,Female,4508876041817930,180-92-8290,Brooks Institute of Photography,pwright26@sfgate.com,"Exposure to other natural radiation, sequela"
80,Bonnie,Adams,06209 Harbort Trail,52917,Lynn,United States,1-(339)606-2068,10/9/74,Female,6372885836610210,781-73-0046,"University of California, Hastings College of Law",badams27@t.co,"Unspecified episcleritis, unspecified eye"
81,Lisa,Howell,31352 Dennis Street,24679,Clearwater,United States,1-(786)962-9886,12/16/04,Female,3573615925295780,679-47-6091,Mary Baldwin College,lhowell28@cam.ac.uk,"Fall from motorized mobility scooter, sequela"
82,Kathy,Simpson,5 Sunfield Hill,36754,Lexington,United States,1-(859)432-8119,12/26/82,Female,4913264546772460,379-28-2269,University of Texas at Brownsville,ksimpson29@cafepress.com,"Occup of pk-up/van inj in clsn w rail trn/veh in traf, init"
83,Christopher,Castillo,46742 Dexter Plaza,95173,Manassas,United States,1-(757)852-8825,9/16/91,Male,5610333292354080,478-74-6921,Ouachita Baptist University,ccastillo2a@mozilla.org,Toxic reaction to local anesthesia during the puerperium
84,Donna,Hicks,1 Miller Point,32452,Washington,United States,1-(202)583-7096,1/3/06,Female,201674773605620,759-63-9337,"Florida Metropolitan University, Tampa College Brandon",dhicks2b@un.org,"Mycosis fungoides, intra-abdominal lymph nodes"
85,Henry,Gordon,1336 Grasskamp Trail,50380,Waco,United States,1-(801)751-2262,5/4/05,Male,6382812105520620,192-85-1449,Salisbury State University,hgordon2c@ifeng.com,"Corrosion of third degree of lower back, sequela"
86,Laura,Alvarez,37 Thompson Drive,78734,Knoxville,United States,1-(865)914-3568,2/9/00,Female,30464651153324,702-30-5276,Lubbock Christian University,lalvarez2d@un.org,"Disp fx of epiphy (separation) (upper) of l femr, 7thR"
87,Helen,Taylor,6812 Shopko Junction,99681,Fort Smith,United States,1-(479)192-0801,8/10/00,Female,3567992879698010,695-53-0855,Plymouth State College,htaylor2e@census.gov,"Toxic effect of soaps, undetermined, initial encounter"
88,Joseph,Powell,69 Carey Court,13224,Canton,United States,1-(330)240-6344,2/1/73,Male,30335741343168,558-15-8691,Macon State College,jpowell2f@biglobe.ne.jp,"Oth fracture of left talus, init encntr for closed fracture"
89,Juan,Wells,3 Elgar Plaza,89414,Van Nuys,United States,1-(310)535-3511,1/3/78,Male,3539892202309290,498-10-7259,Northwestern College of Chiropractic,jwells2g@tmall.com,"Contusion of right great toe with damage to nail, sequela"
90,Irene,Richards,58883 Birchwood Plaza,72843,Provo,United States,1-(801)655-1236,4/24/80,Female,67092639140832000,689-91-8091,Our Lady of the Lake University,irichards2h@theglobeandmail.com,"Prsn brd/alit a 3-whl mv inj in clsn w rail trn/veh, sequela"
91,Deborah,Allen,0134 Armistice Road,90687,Springfield,United States,1-(417)785-3380,11/3/89,Female,3567534939584770,350-99-2312,College of the Holy Cross,dallen2i@yahoo.com,"Adverse effect of beta-adrenoreceptor antagonists, init"
92,Nicholas,Campbell,21 Victoria Alley,95399,Sacramento,United States,1-(916)284-1532,11/17/86,Male,372301255909345,695-80-7502,California Baptist College,ncampbell2j@shinystat.com,Lacrimal cyst
93,Jennifer,Reynolds,8713 Bay Plaza,67786,Toledo,United States,1-(419)971-0177,8/2/68,Female,5602240360070190,357-54-3815,Holy Names College,jreynolds2k@google.co.jp,"Maternal care for hydrops fetalis, second trimester"
94,Mark,Hayes,0 Scott Place,17529,Dallas,United States,1-(214)249-7828,7/20/80,Male,5221872668569000,835-71-7150,University of NorthWest,mhayes2l@oracle.com,"Blister (nonthermal), unspecified knee"
95,Annie,Tucker,24557 Del Sol Circle,38609,Reading,United States,1-(484)395-3308,9/18/87,Female,5010124970825080,902-61-9628,University of North Carolina at Charlotte,atucker2m@seattletimes.com,Adverse effect of other fibrinolysis-affecting drugs
96,Janice,Ford,03404 Mitchell Center,73433,Boston,United States,1-(617)306-3703,3/8/73,Female,3569863612948280,608-21-9640,Southwestern College Kansas,jford2n@mediafire.com,"Crushing injury of right index finger, initial encounter"
97,Daniel,Adams,430 Marcy Terrace,74168,Newark,United States,1-(302)610-2499,10/26/94,Male,3551956553403330,740-33-3044,Bemidji State Univeristy,dadams2o@discovery.com,"Unspecified fracture of left femur, sequela"
98,Ruth,Dean,55251 Farmco Pass,63136,Pasadena,United States,1-(626)506-6396,9/15/06,Female,30557167296006,176-25-7400,Maine College of Art,rdean2p@indiegogo.com,"Oth fx shaft of r fibula, subs for clos fx w nonunion"
99,Rose,Hansen,7 Scoville Center,69830,Corona,United States,1-(951)446-7761,1/6/01,Female,5602257371659170,951-84-9338,New Mexico State University,rhansen2q@simplemachines.org,"Pnctr w/o fb of l little finger w/o damage to nail, sequela"
100,Mark,Hudson,39215 Jay Road,40805,Albany,United States,1-(229)109-7996,2/22/82,Male,3563438932026370,556-06-8906,Valley Forge Christian College,mhudson2r@tinypic.com,"Torus fx upper end of left fibula, subs for fx w routn heal"
